forretningsproces,kommunekode,registreringFra,virkningFra,status,byg007Bygningsnummer,byg021BygningensAnvendelse,byg026Opførelsesår,byg032YdervæggensMateriale,byg033Tagdækningsmateriale,byg037KildeTilBygningensMaterialer,byg038SamletBygningsareal,byg039BygningensSamledeBoligAreal,byg040BygningensSamledeErhvervsAreal,byg041BebyggetAreal,byg042ArealIndbyggetGarage,byg043ArealIndbyggetCarport,byg044ArealIndbyggetUdhus,byg045ArealIndbyggetUdestueEllerLign,byg046SamletArealAfLukkedeOverdækningerPåBygningen,byg047ArealAfAffaldsrumITerrænniveau,byg048AndetAreal,byg049ArealAfOverdækketAreal,byg050ArealÅbneOverdækningerPåBygningenSamlet,byg051Adgangsareal,byg053BygningsarealerKilde,byg054AntalEtager,byg056Varmeinstallation,byg057Opvarmningsmiddel,byg058SupplerendeVarme,byg069Sikringsrumpladser,byg133KildeTilKoordinatsæt,byg134KvalitetAfKoordinatsæt,byg135SupplerendeOplysningOmKoordinatsæt,byg136PlaceringPåSøterritorie,byg404Koordinat,byg406Koordinatsystem
4,101,2017-06-02T12:29:37Z,2017-06-02T12:29:37Z,6,2,120,2013,90,90,2,186,186,,120,,,,,,,,,,,2,2,7,1,,,K,1,11,0,POINT Z(724398.98 6174081.71 0),5
8,101,2022-07-21T11:34:30.576364Z,2022-07-21T11:34:30.576364Z,6,1,120,1931,1,5,2,88,151,,88,,,,,,,,,,,2,1,1,,90,,K,1,11,0,POINT Z(719610.59 6178362.43 0),5
8,173,2022-07-25T04:47:28.059088Z,2022-07-25T04:47:28.059088Z,6,1,120,1953,1,5,5,111,172,,111,,,,,,,,,,,2,1,2,7,,,K,1,31,0,POINT Z(718587.2 6184942.51 0),5
5,173,2022-07-25T04:49:35.181024Z,2022-07-25T04:49:35.181024Z,6,1,120,1957,2,2,2,198,198,,198,,,,,,,,,,,2,1,5,1,2,,K,1,31,0,POINT Z(716280.33 6189033.34 0),5
8,173,2022-07-25T04:52:49.872609Z,2022-07-25T04:52:49.872609Z,6,1,120,1962,1,10,1,69,132,,69,,,,,,,,,,,5,1,2,7,,,K,1,31,0,POINT Z(718601.98 6185898.55 0),5
5,173,2022-07-25T04:53:33.755006Z,2022-07-25T04:53:33.755006Z,6,1,120,2006,5,4,5,126,225,,126,,,,,,,,10,,,5,1,5,1,90,,K,1,31,0,POINT Z(716928.92 6187503.25 0),5
5,173,2022-07-25T05:59:46.911764Z,2022-07-25T05:59:46.911764Z,6,1,120,1933,1,2,5,142,142,,92,,,,,,,,,,,5,2,5,1,,,K,1,31,0,POINT Z(719448.97 6185409.86 0),5
5,173,2022-07-25T06:46:13.457743Z,2022-07-25T06:46:13.457743Z,6,1,120,1952,1,5,5,101,173,,101,,,,,,,,15,,,5,1,2,7,2,,K,1,31,0,POINT Z(717416.33 6187373.87 0),5
5,173,2022-07-25T07:19:05.900028Z,2022-07-25T07:19:05.900028Z,6,1,120,1961,1,5,5,136,136,,136,,,,,,,,,,,5,1,5,1,5,,K,1,31,0,POINT Z(717634.15 6188026.35 0),5
5,173,2022-07-25T07:25:45.388677Z,2022-07-25T07:25:45.388677Z,6,1,120,1958,1,1,5,121,121,,121,,,,,,,,,,,5,1,5,1,,,K,1,31,0,POINT Z(721873.68 6188839.73 0),5
